"Cód","Código de barras","Nome","Fornecedor","Fabricante","Preço Tabela","Replicação de preço","Custo","Resultado Financeiro","Markup","Estoque","Aliquota","Grupo linha","Sub grupo","Comissão Vendedor","Comissão Veterinário","CSOSN/CST","Status","Código de barras 2","Código de barras 3","Código de barras 4"
"2833","7896029014981","AL CAES PEDIGREE SEN 7+ CARNE AO MOLHO SCH 100G","MEGA RIO","NAO INFORMADO","R$ 3,09","Ativo","R$ 1,67","R$ 1,42","85,0%","0","Subst. Tributaria","PETISCOS, MOLHOS E PATES","UMIDO","0.00","0.00","60","Ativo","","",""
"521","7898948410134","AL CAES PET DELICIA CACAROLINHA DE CARNE LT 320G","ALFAVET","NAO INFORMADO","R$ 22,99","Ativo","R$ 16,09","R$ 6,90","42,9%","15","Subst. Tributaria","PETISCOS, MOLHOS E PATES","UMIDO","0.00","0.00","60","Ativo","","",""
"6669","7898948410219","AL CAES PET DELICIA CAÇAROLINHA DE CARNE LT110G","ALFAVET","NAO INFORMADO","R$ 11,99","Ativo","R$ 8,18","R$ 3,81","46,6%","2","Subst. Tributaria","PETISCOS, MOLHOS E PATES","UMIDO","0.00","0.00","60","Ativo","","",""
"898815","7898948410752","AL CAES PET DELICIA CARRETEIRO SUINO 320G","ALFAVET","NAO INFORMADO","R$ 22,99","Ativo","R$ 16,10","R$ 6,89","42,8%","3","Tributada ICMS","PETISCOS, MOLHOS E PATES","UMIDO","0.00","0.00","00","Ativo","","",""
"539","7898948410387","AL CAES PET DELICIA CONTROL DOG LT 320G","ALFAVET","NAO INFORMADO","R$ 25,99","Ativo","R$ 17,20","R$ 8,79","51,1%","4","Subst. Tributaria","PETISCOS, MOLHOS E PATES","UMIDO","0.00","0.00","60","Ativo","","",""
"709767","7898948410578","AL CAES PET DELICIA CORDEIRO COM LEGUMES 320G","ALFAVET","NAO INFORMADO","R$ 32,99","Ativo","R$ 23,19","R$ 9,80","42,3%","3","Tributada ICMS","PETISCOS, MOLHOS E PATES","UMIDO","0.00","0.00","00","Ativo","","",""
"6657","7898948410165","AL CAES PET DELICIA HIPERCALORICA LT320G","ALFAVET","NAO INFORMADO","R$ 26,99","Ativo","R$ 19,23","R$ 7,76","40,4%","3","Subst. Tributaria","PETISCOS, MOLHOS E PATES","UMIDO","0.00","0.00","60","Ativo","","",""
"527","7898948410127","AL CAES PET DELICIA JARDINEIRA DE FRANGO LT 320G","ALFAVET","NAO INFORMADO","R$ 22,99","Ativo","R$ 15,63","R$ 7,36","47,1%","5","Subst. Tributaria","PETISCOS, MOLHOS E PATES","UMIDO","0.00","0.00","60","Ativo","","",""
"6665","7898948410226","AL CAES PET DELICIA JARDINEIRA DE FRANGO LT110G","ALFAVET","NAO INFORMADO","R$ 9,99","Ativo","R$ 6,53","R$ 3,46","53,0%","0","Subst. Tributaria","PETISCOS, MOLHOS E PATES","UMIDO","0.00","0.00","60","Ativo","","",""
"535","7898948410172","AL CAES PET DELICIA LIGHT FRANGO COM MACA LT 320G","ALFAVET","NAO INFORMADO","R$ 22,99","Ativo","R$ 16,10","R$ 6,89","42,8%","4","Subst. Tributaria","PETISCOS, MOLHOS E PATES","UMIDO","0.00","0.00","60","Ativo","","",""
"6655","7898948410332","AL CAES PET DELICIA LOW CARB (ANTITOX) LT 320G","ALFAVET","NAO INFORMADO","R$ 26,99","Ativo","R$ 18,98","R$ 8,01","42,2%","5","Subst. Tributaria","PETISCOS, MOLHOS E PATES","UMIDO","0.00","0.00","60","Ativo","","",""
"499","7898948410271","AL CAES PET DELICIA PANELINHA DE CARNE LT 320G","ALFAVET","NAO INFORMADO","R$ 22,99","Ativo","R$ 14,36","R$ 8,63","60,1%","9","Subst. Tributaria","PETISCOS, MOLHOS E PATES","UMIDO","0.00","0.00","60","Ativo","","",""
